id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1607194175363219457,1607194175363219457,2022-12-26 08:58:46 SE Asia Standard Time,2022-12-26,08:58:46,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[CM] Buat kaka2 psikologi, ada yang pernah magang di SD ga? Itu nanti penelitiannya bahas tentang apa ya?",in,[],[],[],0,0,5,[],[],https://twitter.com/collegemenfess/status/1607194175363219457,False,,0,,,,,,,,[],,,,
1607194102453665792,1607194102453665792,2022-12-26 08:58:28 SE Asia Standard Time,2022-12-26,08:58:28,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] yang bener yang mana ya? TIA  https://t.co/FNss3EBtKe,in,[],[],['https://pbs.twimg.com/media/Fk3mhMiaEAA9va5.jpg'],3,0,2,[],[],https://twitter.com/collegemenfess/status/1607194102453665792,False,,1,https://pbs.twimg.com/media/Fk3mhMiaEAA9va5.jpg,,,,,,,[],,,,
1607193563623985152,1607193563623985152,2022-12-26 08:56:20 SE Asia Standard Time,2022-12-26,08:56:20,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] mau nanya buat yg dulu skripsinya harus wawancara ke general manager gitu ada kesulitan ngga ya buat ngatur jadwal wawancaranya? Soalnya kan biasanya jadwalnya padat:""",in,[],[],[],1,0,1,[],[],https://twitter.com/collegemenfess/status/1607193563623985152,False,,0,,,,,,,,[],,,,
1607192920557518848,1607192920557518848,2022-12-26 08:53:47 SE Asia Standard Time,2022-12-26,08:53:47,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"Halo, buat yg dari Aceh. Berhubung hari ini peringatan 18 thn tsunami Aceh, PUSWIL tetap buka, gak, ya? Soalnya aku berencana nugas di sana kalau buka. Mohon infonya. Terima kasih. [cm]  https://t.co/IbSxiaVnac",in,[],[],['https://pbs.twimg.com/media/Fk3lcTBagAIuoPx.jpg'],0,2,8,[],[],https://twitter.com/collegemenfess/status/1607192920557518848,False,,1,https://pbs.twimg.com/media/Fk3lcTBagAIuoPx.jpg,,,,,,,[],,,,
1607192848377720833,1607192848377720833,2022-12-26 08:53:29 SE Asia Standard Time,2022-12-26,08:53:29,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] guysss di perpusnas lantai berapa yg enak buat nugasss??,in,[],[],[],2,0,0,[],[],https://twitter.com/collegemenfess/status/1607192848377720833,False,,0,,,,,,,,[],,,,
1607192334042791939,1607192334042791939,2022-12-26 08:51:27 SE Asia Standard Time,2022-12-26,08:51:27,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[Cm] kamu ngasih dosen pembimbing apa? Aku bingung mau ngasih apa,in,[],[],[],4,0,4,[],[],https://twitter.com/collegemenfess/status/1607192334042791939,False,,0,,,,,,,,[],,,,
1607192007398813696,1607192007398813696,2022-12-26 08:50:09 SE Asia Standard Time,2022-12-26,08:50:09,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] ADA YANG PERNAH MAGANG DI JASAMARGA? boleh nanya² ga? tia✨,in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607192007398813696,False,,0,,,,,,,,[],,,,
1607191997244379136,1607191997244379136,2022-12-26 08:50:06 SE Asia Standard Time,2022-12-26,08:50:06,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] Disini ada yang d3/d4 jurusan gizi gak? Kalo ga ngambil ukom dan str bisa kerja di food industry kaya nestle, frisian flag gitu ga ya?",in,[],[],[],2,0,1,[],[],https://twitter.com/collegemenfess/status/1607191997244379136,False,,0,,,,,,,,[],,,,
1607191700606443520,1607191700606443520,2022-12-26 08:48:56 SE Asia Standard Time,2022-12-26,08:48:56,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] Kalian ngurus EC penelitian berapa lama guys? Sebulan bisa gak ya?,in,[],[],[],0,0,2,[],[],https://twitter.com/collegemenfess/status/1607191700606443520,False,,0,,,,,,,,[],,,,
1607191484448792576,1607191484448792576,2022-12-26 08:48:04 SE Asia Standard Time,2022-12-26,08:48:04,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] mau minta pendapat. Jadi kan 4 bulan lalu aku ngikut webinar terus menang challenge dan katanya dapat hadiah. Aku udah ngirim alamat, tapi sampai sekarang gak dapet, ditagih aja apa gak ya?  https://t.co/y1Xi5LOORq",in,[],[],['https://pbs.twimg.com/media/Fk3kIwjaEAA4Itu.jpg'],4,0,1,[],[],https://twitter.com/collegemenfess/status/1607191484448792576,False,,1,https://pbs.twimg.com/media/Fk3kIwjaEAA4Itu.jpg,,,,,,,[],,,,
